ANALYTE_NAME,DATA_SOURCE,MATRIX,NUMBER_OF_ROWS
Salinity,"CIWQS,Field,WQ,WQX","runoff,samplewater",79699
Transmittance,Field,samplewater,43758
CDOM,Field,samplewater,42442
PAR,Field,"air,samplewater",36166
Total Suspended Solids,"CIWQS,WQ,WQX","SampleWater,Samplewater,samplewater,samplewater, particulate, >0.70 um",30294
OrthoPhosphate as P,"CIWQS,Field,WQ","Samplewater,runoff,samplewater",26877
Density,Field,samplewater,25851
"Nitrogen, Total Kjeldahl","CIWQS,WQ,WQX","Samplewater,samplewater,sediment",25048
Moisture,"Tissue,WQ","sediment,sediment, <63 um,tissue",19974
Total Hardness (calc),CIWQS,,19467
Discharge,"CIWQS,Field,WQ","runoff,samplewater",17669
Velocity,Field,"runoff,samplewater",14896
"Nitrogen, Organic","CIWQS,WQ,WQX",samplewater,11323
Total Organic Carbon,"CIWQS,WQ,WQX","samplewater,sediment",9798
Hardness as CaCO3,"CIWQS,WQ","SampleWater,Samplewater,samplewater",8335
Calcium,"CIWQS,WQ,WQX","SampleWater,Samplewater,samplewater,sediment",8324
Magnesium,"CIWQS,WQ,WQX","SampleWater,Samplewater,samplewater,sediment",8272
Dissolved Organic Carbon,"CIWQS,WQ,WQX","Samplewater,samplewater,samplewater, <0.45 um,samplewater, <0.7 um",8266
BOD,"CIWQS,WQ",samplewater,5615
Sand,WQ,"samplewater,sediment",5347
Settleable Solids,"CIWQS,WQ",samplewater,4969
OilandGrease,CIWQS,,4094
Phosphate as P,"CIWQS,WQ",samplewater,3843
Silica as SiO2,"CIWQS,Field,WQ",samplewater,3636
Potassium,"CIWQS,WQ,WQX","samplewater,sediment",3303
Suspended Sediment Concentration,"WQ,WQX","samplewater,sediment, elutriate",3133
Pheophytin a,"WQ,WQX",samplewater,2981
Clay,WQ,"samplewater,sediment",2798
Total Solids,"CIWQS,Tissue,WQ","sediment,tissue",2718
Silt,WQ,"samplewater,sediment",2705
"Bacteroidales, Human",WQ,"samplewater,sediment",2577
"Carbon, Total","WQ,WQX","samplewater,samplewater, particulate, >0.70 um",2522
Lipid,Tissue,tissue,2292
Carbonate,"CIWQS,WQ,WQX","Samplewater,samplewater",2087
Chloroethane,"CIWQS,WQ,WQX",samplewater,2067
Bicarbonate,"CIWQS,WQ,WQX",samplewater,2066
Endrin Ketone,"CIWQS,Tissue,WQ,WQX","samplewater,sediment,tissue",2036
"Dinitrotoluene, 2,6-","CIWQS,WQ","samplewater,sediment",1976
Oxidation-Reduction Potential,Field,samplewater,1932
PBDE 183,"Tissue,WQ","samplewater,sediment,tissue",1860
Precipitation,CIWQS,,1851
Age,Tissue,tissue,1836
"Nitrophenol, 2-","CIWQS,WQ","samplewater,sediment",1834
Di-n-octyl Phthalate,"CIWQS,WQ","samplewater,sediment",1832
PBDE 153,"Tissue,WQ","samplewater,sediment,tissue",1817
PBDE 154,"Tissue,WQ","samplewater,sediment,tissue",1814
PBDE 100,"Tissue,WQ","samplewater,sediment,tissue",1812
"Nitrophenol, 4-","CIWQS,WQ","samplewater,sediment",1812
Fenchlorphos,"CIWQS,Tissue,WQ,WQX","samplewater,sediment,tissue",1809
PBDE 047,"Tissue,WQ","samplewater,sediment,tissue",1808
Trichloronate,"CIWQS,Tissue,WQ,WQX","samplewater,sediment,tissue",1807
PBDE 099,"Tissue,WQ","samplewater,sediment,tissue",1807
Tokuthion,"CIWQS,Tissue,WQ,WQX","samplewater,sediment,tissue",1805
"Bromophenyl Phenyl Ether, 4-","CIWQS,WQ",samplewater,1751
"Chlorophenyl Phenyl Ether, 4-","CIWQS,WQ",samplewater,1751
"Chloroethyl Vinyl Ether, 2-","CIWQS,WQ,WQX",samplewater,1739
"Dichlorobenzidine,3,3'-",CIWQS,,1731
"Nitrogen, Inorganic","CIWQS,WQ",samplewater,1576
COD,"CIWQS,WQ",samplewater,1509
PBDE 209,"Tissue,WQ","samplewater,sediment,tissue",1446
Fensulfothion,"CIWQS,Tissue,WQ,WQX","samplewater,sediment,tissue",1438
Mevinphos,"CIWQS,Tissue,WQ,WQX","samplewater,sediment,tissue",1431
Bolstar,"CIWQS,Tissue,WQ,WQX","samplewater,sediment,tissue",1431
PBDE 066,"Tissue,WQ","samplewater,sediment,tissue",1412
"Trihalomethanes, Total","CIWQS,WQ",samplewater,1403
"Methylnaphthalene, 1-","CIWQS,WQ","samplewater,sediment",1323
Total Alkalinity (calc),CIWQS,,1303
PBDE 028,"Tissue,WQ","samplewater,sediment,tissue",1302
Pebble,WQ,sediment,1292
